Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Total,Spread
2015,BRK,27,2014-12-23,1,DEN,W,102,96,43,91,0.473,6,23,0.261,10,14,0.714,12,39,21,10,3,9,19,36,82,0.439,7,25,0.28,17,22,0.773,14,51,15,4,4,18,15,198,6
2015,BRK,28,2014-12-26,0,BOS,W,109,107,41,83,0.494,7,21,0.333,20,28,0.714,13,43,19,9,3,15,10,45,87,0.517,9,24,0.375,8,11,0.727,5,37,32,8,3,14,23,216,2
2015,BRK,29,2014-12-27,1,IND,L,85,110,28,77,0.364,7,25,0.28,22,27,0.815,5,35,15,2,4,16,20,44,86,0.512,9,18,0.5,13,18,0.722,7,45,33,11,5,11,25,195,-25
2015,BRK,30,2014-12-29,1,SAC,W,107,99,36,80,0.45,8,21,0.381,27,39,0.692,14,40,20,12,3,9,18,37,76,0.487,9,20,0.45,16,20,0.8,11,44,22,5,3,21,26,206,8
2015,BRK,31,2014-12-30,0,CHI,W,96,82,36,83,0.434,6,14,0.429,18,21,0.857,10,46,21,9,5,11,17,33,86,0.384,8,25,0.32,8,15,0.533,13,48,22,5,11,13,18,178,14
2015,BRK,32,2015-01-02,0,ORL,W,100,98,41,72,0.569,7,20,0.35,11,18,0.611,4,45,26,7,5,22,16,37,88,0.42,11,22,0.5,13,20,0.65,8,37,22,13,3,11,18,198,2
2015,BRK,33,2015-01-04,0,MIA,L,84,88,34,86,0.395,7,24,0.292,9,13,0.692,10,38,18,9,6,11,23,31,67,0.463,5,14,0.357,21,28,0.75,8,42,21,8,9,16,20,172,-4
2015,BRK,34,2015-01-05,1,DAL,L,88,96,33,84,0.393,3,25,0.12,19,23,0.826,7,52,20,5,7,15,21,37,94,0.394,10,27,0.37,12,19,0.632,14,51,24,8,6,11,17,184,-8
2015,BRK,35,2015-01-07,1,BOS,L,81,89,30,74,0.405,3,14,0.214,18,26,0.692,11,50,18,3,6,18,18,35,88,0.398,5,18,0.278,14,17,0.824,11,41,22,8,2,7,26,170,-8
2015,BRK,36,2015-01-09,1,PHI,L,88,90,33,73,0.452,3,16,0.188,19,27,0.704,9,42,21,8,3,18,19,36,79,0.456,8,17,0.471,10,17,0.588,11,38,22,15,4,14,22,178,-2
